date,hour,event_type,description,program
2021-05-31,10:45,Entretien,"Remise du rapport annuel de la Haute autorité pour la transparence de la vie publique (HATVP) par M. Didier MIGAUD, Président de la Haute autorité.",[]
2021-05-31,14:00,Entretien,"Entretien bilatéral avec la Chancelière fédérale d'Allemagne, en visioconférence.",[]
2021-05-31,15:45,Conseil des ministres,"Conseil des ministres franco-allemand, en visioconférence.",['Conseil des ministres franco-allemand du 31 mai 2021.']
2021-05-31,18:15,Réunion,"Échanges avec la Chancelière fédérale d'Allemagne et des acteurs industriels du secteur de la santé, en visioconférence.",[]
2021-06-01,09:00,Conseil de défense,Conseil restreint de défense et de sécurité nationale.,[]
2021-06-01,12:00,Entretien,Entretien avec le Premier ministre.,[]
2021-06-01,13:15,Déjeuner,"Déjeuner de travail avec M. Nikol PACHINIAN, Premier ministre par intérim de la République d’Arménie.",['Déclaration conjointe du Président Emmanuel Macron et du Premier ministre par intérim de la République d’Arménie Nikol Pachinian.']
2021-06-01,19:00,Entretien,"Entretien avec M. Abdelhamid DBEIBAH, Premier ministre du Gouvernement d’unité nationale de l’Etat de Libye.",['Déclaration conjointe du Président Emmanuel Macron et du Premier ministre du Gouvernement d’unité nationale de l’État de Libye Abdelhamid Dbeibah.']
2021-06-02,09:00,Conseil de défense,Conseil de défense Covid-19.,[]
2021-06-02,10:00,Conseil des ministres,Conseil des ministres.,['Compte rendu du Conseil des ministres du mercredi 2 juin 2021.']
2021-06-02,Après-midi,Déplacement,Déplacement dans le Lot.,"[""Cet été, les vacances, c'est en France !""]"
2021-06-03,Toute la journée,Déplacement,Déplacement dans le Lot.,[]
2021-06-07,11:30,Entretien,"Remise du rapport de la Commission nationale des comptes de campagne et des financements politiques (CNCCFP) par M. Jean-Philippe VACHIA, président de chambre honoraire de la Cour des comptes et président de la Commission.",[]
2021-06-07,15:30,Déplacement,"Visioconférence avec les élus concernés par la reconstruction des vallées de la Roya, de la Tinée et de la Vésubie suite à la tempête Alex.",[]
2021-06-07,17:15,Entretien,"Entretien téléphonique avec M. Boris JOHNSON, Premier ministre du Royaume-Uni.",[]
2021-06-08,Toute la journée,Déplacement,Déplacement dans la Drôme.,['Déplacement du Président Emmanuel Macron dans la Drôme.']
2021-06-09,09:00,Conseil de défense,Conseil restreint de Défense et de Sécurité nationale.,[]
2021-06-09,10:30,Conseil des ministres,Conseil des ministres.,['Compte rendu du Conseil des ministres du mercredi 9 juin 2021.']
2021-06-09,13:15,Déjeuner,"Déjeuner de travail avec M. Mathias CORMANN, Secrétaire Général de l’Organisation de coopération et de développement économiques (OCDE).","[""Déclaration conjointe du Président Emmanuel Macron et du secrétaire général de l'OCDE Mathias Cormann.""]"
2021-06-09,16:00,Entretien,"Entretien avec M. Marc SCHWARTZ, Directeur Général de La Monnaie de Paris et M. Joaquin JIMENEZ, Graveur général des monnaies.",[]
2021-06-10,09:30,Déplacement,Inauguration de l’Hôtel de la Marine.,"['L’Hôtel de la Marine, joyau de notre patrimoine, ouvre au public.']"
2021-06-10,13:00,Déjeuner,"Déjeuner avec l’équipe de France de football, Clairefontaine.",['Soyons fiers de notre équipe de France. Déplacement du Président Emmanuel Macron à Clairefontaine.']
2021-06-10,16:30,Conférence de presse,Conférence de presse dans la perspective des Sommets G7 et OTAN,"[""Conférence de presse en amont des sommets du G7 et de l'OTAN.""]"
2021-06-10,20:30,Entretien,"Entretien du Président de la République avec M. Zoran ZAEV, Premier ministre de la République de Macédoine du Nord.",['Déclaration conjointe du Président Emmanuel Macron et du Premier ministre de la République de Macédoine du Nord Zoran Zaev.']
2021-06-11,Toute la journée,Sommet,"Déplacement au Royaume-Uni dans le cadre du Sommet du G7, Carbis Bay.",[]
2021-06-12,Toute la journée,Sommet,"Déplacement au Royaume-Uni dans le cadre du Sommet du G7, Carbis Bay.",[]
2021-06-13,Toute la journée,Sommet,"Déplacement au Royaume-Uni dans le cadre du Sommet du G7, Carbis Bay.",['Sommet du G7 de Carbis Bay.']
2021-06-14,Toute la journée,Sommet,Sommet de l’OTAN à Bruxelles.,['Sommet de l’OTAN à Bruxelles.']
2021-06-15,09:00,Conseil de défense,Conseil restreint de Défense et de Sécurité nationale.,[]
2021-06-15,10:30,Entretien,"Entretien avec M. Jean-Yves LE DRIAN, ministre de l'Europe et des Affaires étrangères.",[]
2021-06-15,12:00,Cérémonie officielle,Remise de décoration individuelle.,[]
2021-06-15,16:00,Remise de rapport,Présentation du rapport d’audit de la Cour des comptes sur les finances publiques.,[]
2021-06-15,17:00,Rencontre,Échanges avec les membres du collectif Scale-Up Europe.,['Objectif 10 géants tech européens d’ici 2030 !']
2021-06-15,19:45,Dîner,"Entretien avec M. Scott MORRISON, Premier ministre du Commonwealth d’Australie.",['Déclaration conjointe du Président Emmanuel Macron et du Premier ministre du Commonwealth d’Australie Scott Morrison.']
2021-06-16,09:00,Conseil de défense,Conseil de Défense Covid-19.,[]
2021-06-16,10:30,Conseil des ministres,Conseil des ministres.,['Compte rendu du Conseil des ministres du mercredi 16 juin 2021.']
2021-06-16,15:30,Déplacement,"Salon VivaTech, Porte de Versailles, Paris.",[]
2021-06-17,Toute la journée,Déplacement,Déplacement dans la Somme et dans l'Aisne.,"['La lecture, grande cause nationale : se mobiliser pour la langue française.']"
2021-06-18,11:00,Cérémonie officielle,"Commémoration du 81ème anniversaire de l’Appel du 18 juin 1940 au Mont-Valérien, Mémorial de la France combattante.","[""Commémoration du 81e anniversaire de l'appel du 18 juin 1940.""]"
2021-06-18,19:30,Entretien,"Entretien avec Mme Angela MERKEL, Chancelière de la République fédérale d’Allemagne, suivi d’un dîner. Chancellerie fédérale - Berlin",['Conférence de presse conjointe du Président Emmanuel Macron et de la Chancelière Angela Merkel.']
2021-06-20,12:00,Déplacement,Déplacement au Touquet à l’occasion des élections régionales et départementale.,[]
2021-06-21,10:00,Réunion,Réunion de travail avec les représentants des discothèques et du monde de la nuit.,[]
2021-06-21,12:00,Déplacement,Inauguration du grand magasin La Samaritaine.,['La Samaritaine rouvre ses portes !']
2021-06-21,13:15,Déjeuner,Déjeuner avec le Premier ministre.,[]
